Datum,Brot,Brötchen,Croissant,Konditorei,Kuchen,Saisonbrot,<NA>
2012-04-06,NA,NA,NA,NA,NA,NA,0
2012-04-07,NA,NA,NA,NA,NA,NA,0
2012-04-08,NA,NA,NA,NA,NA,NA,0
2012-04-09,NA,NA,NA,NA,NA,NA,0
2012-04-10,NA,NA,NA,NA,NA,NA,0
2012-04-11,NA,NA,NA,NA,NA,NA,0
2012-04-12,NA,NA,NA,NA,NA,NA,0
2012-04-13,NA,NA,NA,NA,NA,NA,0
2012-04-14,NA,NA,NA,NA,NA,NA,0
2012-04-15,NA,NA,NA,NA,NA,NA,0
2012-04-16,NA,NA,NA,NA,NA,NA,0
2012-04-17,NA,NA,NA,NA,NA,NA,0
2012-04-18,NA,NA,NA,NA,NA,NA,0
2012-04-19,NA,NA,NA,NA,NA,NA,0
2012-04-20,NA,NA,NA,NA,NA,NA,0
2012-04-21,NA,NA,NA,NA,NA,NA,0
2012-04-22,NA,NA,NA,NA,NA,NA,0
2012-04-23,NA,NA,NA,NA,NA,NA,0
2012-04-24,NA,NA,NA,NA,NA,NA,0
2012-04-25,NA,NA,NA,NA,NA,NA,0
2012-04-26,NA,NA,NA,NA,NA,NA,0
2012-04-27,NA,NA,NA,NA,NA,NA,0
2012-04-28,NA,NA,NA,NA,NA,NA,0
2012-04-29,NA,NA,NA,NA,NA,NA,0
2012-04-30,NA,NA,NA,NA,NA,NA,0
2012-05-01,NA,NA,NA,NA,NA,NA,0
2012-05-02,NA,NA,NA,NA,NA,NA,0
2012-05-03,NA,NA,NA,NA,NA,NA,0
2012-05-04,NA,NA,NA,NA,NA,NA,0
2012-05-05,NA,NA,NA,NA,NA,NA,0
2012-05-06,NA,NA,NA,NA,NA,NA,0
2012-05-07,NA,NA,NA,NA,NA,NA,0
2012-05-08,NA,NA,NA,NA,NA,NA,0
2012-05-09,NA,NA,NA,NA,NA,NA,0
2012-05-10,NA,NA,NA,NA,NA,NA,0
2012-05-11,NA,NA,NA,NA,NA,NA,0
2012-05-12,NA,NA,NA,NA,NA,NA,0
2012-05-13,NA,NA,NA,NA,NA,NA,0
2012-05-14,NA,NA,NA,NA,NA,NA,0
2012-05-15,NA,NA,NA,NA,NA,NA,0
2012-05-16,NA,NA,NA,NA,NA,NA,0
2012-05-17,NA,NA,NA,NA,NA,NA,0
2012-05-18,NA,NA,NA,NA,NA,NA,0
2012-05-19,NA,NA,NA,NA,NA,NA,0
2012-05-20,NA,NA,NA,NA,NA,NA,0
2012-05-21,NA,NA,NA,NA,NA,NA,0
2012-05-22,NA,NA,NA,NA,NA,NA,0
2012-05-23,NA,NA,NA,NA,NA,NA,0
2012-05-24,NA,NA,NA,NA,NA,NA,0
2012-05-25,NA,NA,NA,NA,NA,NA,0
2012-05-26,NA,NA,NA,NA,NA,NA,0
2012-05-27,NA,NA,NA,NA,NA,NA,0
2012-05-28,NA,NA,NA,NA,NA,NA,0
2012-05-29,NA,NA,NA,NA,NA,NA,0
2012-05-30,NA,NA,NA,NA,NA,NA,0
2012-05-31,NA,NA,NA,NA,NA,NA,0
2012-06-01,NA,NA,NA,NA,NA,NA,0
2012-06-02,NA,NA,NA,NA,NA,NA,0
2012-06-03,NA,NA,NA,NA,NA,NA,0
2012-06-04,NA,NA,NA,NA,NA,NA,0
2012-06-05,NA,NA,NA,NA,NA,NA,0
2012-06-06,NA,NA,NA,NA,NA,NA,0
2012-06-07,NA,NA,NA,NA,NA,NA,0
2012-06-08,NA,NA,NA,NA,NA,NA,0
2012-06-09,NA,NA,NA,NA,NA,NA,0
2012-06-10,NA,NA,NA,NA,NA,NA,0
2012-06-11,NA,NA,NA,NA,NA,NA,0
2012-06-12,NA,NA,NA,NA,NA,NA,0
2012-06-13,NA,NA,NA,NA,NA,NA,0
2012-06-14,NA,NA,NA,NA,NA,NA,0
2012-06-15,NA,NA,NA,NA,NA,NA,0
2012-06-16,NA,NA,NA,NA,NA,NA,0
2012-06-17,NA,NA,NA,NA,NA,NA,0
2012-06-18,NA,NA,NA,NA,NA,NA,0
2012-06-19,NA,NA,NA,NA,NA,NA,0
2012-06-20,NA,NA,NA,NA,NA,NA,0
2012-06-21,NA,NA,NA,NA,NA,NA,0
2012-06-22,NA,NA,NA,NA,NA,NA,0
2012-06-23,NA,NA,NA,NA,NA,NA,0
2012-06-24,NA,NA,NA,NA,NA,NA,0
2012-06-25,NA,NA,NA,NA,NA,NA,0
2012-06-26,NA,NA,NA,NA,NA,NA,0
2012-06-27,NA,NA,NA,NA,NA,NA,0
2012-06-28,NA,NA,NA,NA,NA,NA,0
2012-06-29,NA,NA,NA,NA,NA,NA,0
2012-06-30,NA,NA,NA,NA,NA,NA,0
2012-07-01,NA,NA,NA,NA,NA,NA,0
2012-07-02,NA,NA,NA,NA,NA,NA,0
2012-07-03,NA,NA,NA,NA,NA,NA,0
2012-07-04,NA,NA,NA,NA,NA,NA,0
2012-07-05,NA,NA,NA,NA,NA,NA,0
2012-07-06,NA,NA,NA,NA,NA,NA,0
2012-07-07,NA,NA,NA,NA,NA,NA,0
2012-07-08,NA,NA,NA,NA,NA,NA,0
2012-07-09,NA,NA,NA,NA,NA,NA,0
2012-07-10,NA,NA,NA,NA,NA,NA,0
2012-07-11,NA,NA,NA,NA,NA,NA,0
2012-07-12,NA,NA,NA,NA,NA,NA,0
2012-07-13,NA,NA,NA,NA,NA,NA,0
2012-07-14,NA,NA,NA,NA,NA,NA,0
2012-07-15,NA,NA,NA,NA,NA,NA,0
2012-07-16,NA,NA,NA,NA,NA,NA,0
2012-07-17,NA,NA,NA,NA,NA,NA,0
2012-07-18,NA,NA,NA,NA,NA,NA,0
2012-07-19,NA,NA,NA,NA,NA,NA,0
2012-07-20,NA,NA,NA,NA,NA,NA,0
2012-07-21,NA,NA,NA,NA,NA,NA,0
2012-07-22,NA,NA,NA,NA,NA,NA,0
2012-07-23,NA,NA,NA,NA,NA,NA,0
2012-07-24,NA,NA,NA,NA,NA,NA,0
2012-07-25,NA,NA,NA,NA,NA,NA,0
2012-07-26,NA,NA,NA,NA,NA,NA,0
2012-07-27,NA,NA,NA,NA,NA,NA,0
2012-07-28,NA,NA,NA,NA,NA,NA,0
2012-07-29,NA,NA,NA,NA,NA,NA,0
2012-07-30,NA,NA,NA,NA,NA,NA,0
2012-07-31,NA,NA,NA,NA,NA,NA,0
2012-08-01,NA,NA,NA,NA,NA,NA,0
2012-08-02,NA,NA,NA,NA,NA,NA,0
2012-08-03,NA,NA,NA,NA,NA,NA,0
2012-08-04,NA,NA,NA,NA,NA,NA,0
2012-08-05,NA,NA,NA,NA,NA,NA,0
2012-08-06,NA,NA,NA,NA,NA,NA,0
2012-08-07,NA,NA,NA,NA,NA,NA,0
2012-08-08,NA,NA,NA,NA,NA,NA,0
2012-08-09,NA,NA,NA,NA,NA,NA,0
2012-08-10,NA,NA,NA,NA,NA,NA,0
2012-08-11,NA,NA,NA,NA,NA,NA,0
2012-08-12,NA,NA,NA,NA,NA,NA,0
2012-08-13,NA,NA,NA,NA,NA,NA,0
2012-08-14,NA,NA,NA,NA,NA,NA,0
2012-08-15,NA,NA,NA,NA,NA,NA,0
2012-08-16,NA,NA,NA,NA,NA,NA,0
2012-08-17,NA,NA,NA,NA,NA,NA,0
2012-08-18,NA,NA,NA,NA,NA,NA,0
2012-08-19,NA,NA,NA,NA,NA,NA,0
2012-08-20,NA,NA,NA,NA,NA,NA,0
2012-08-21,NA,NA,NA,NA,NA,NA,0
2012-08-22,NA,NA,NA,NA,NA,NA,0
2012-08-23,NA,NA,NA,NA,NA,NA,0
2012-08-24,NA,NA,NA,NA,NA,NA,0
2012-08-25,NA,NA,NA,NA,NA,NA,0
2012-08-26,NA,NA,NA,NA,NA,NA,0
2012-08-27,NA,NA,NA,NA,NA,NA,0
2012-08-28,NA,NA,NA,NA,NA,NA,0
2012-08-29,NA,NA,NA,NA,NA,NA,0
2012-08-30,NA,NA,NA,NA,NA,NA,0
2012-08-31,NA,NA,NA,NA,NA,NA,0
2012-09-01,NA,NA,NA,NA,NA,NA,0
2012-09-02,NA,NA,NA,NA,NA,NA,0
2012-09-03,NA,NA,NA,NA,NA,NA,0
2012-09-04,NA,NA,NA,NA,NA,NA,0
2012-09-05,NA,NA,NA,NA,NA,NA,0
2012-09-06,NA,NA,NA,NA,NA,NA,0
2012-09-07,NA,NA,NA,NA,NA,NA,0
2012-09-08,NA,NA,NA,NA,NA,NA,0
2012-09-09,NA,NA,NA,NA,NA,NA,0
2012-09-10,NA,NA,NA,NA,NA,NA,0
2012-09-11,NA,NA,NA,NA,NA,NA,0
2012-09-12,NA,NA,NA,NA,NA,NA,0
2012-09-13,NA,NA,NA,NA,NA,NA,0
2012-09-14,NA,NA,NA,NA,NA,NA,0
2012-09-15,NA,NA,NA,NA,NA,NA,0
2012-09-16,NA,NA,NA,NA,NA,NA,0
2012-09-17,NA,NA,NA,NA,NA,NA,0
2012-09-18,NA,NA,NA,NA,NA,NA,0
2012-09-19,NA,NA,NA,NA,NA,NA,0
2012-09-20,NA,NA,NA,NA,NA,NA,0
2012-09-21,NA,NA,NA,NA,NA,NA,0
2012-09-22,NA,NA,NA,NA,NA,NA,0
2012-09-23,NA,NA,NA,NA,NA,NA,0
2012-09-24,NA,NA,NA,NA,NA,NA,0
2012-09-25,NA,NA,NA,NA,NA,NA,0
2012-09-26,NA,NA,NA,NA,NA,NA,0
2012-09-27,NA,NA,NA,NA,NA,NA,0
2012-09-28,NA,NA,NA,NA,NA,NA,0
2012-09-29,NA,NA,NA,NA,NA,NA,0
2012-09-30,NA,NA,NA,NA,NA,NA,0
2012-10-01,NA,NA,NA,NA,NA,NA,0
2012-10-02,NA,NA,NA,NA,NA,NA,0
2012-10-03,NA,NA,NA,NA,NA,NA,0
2012-10-04,NA,NA,NA,NA,NA,NA,0
2012-10-05,NA,NA,NA,NA,NA,NA,0
2012-10-06,NA,NA,NA,NA,NA,NA,0
2012-10-07,NA,NA,NA,NA,NA,NA,0
2012-10-08,NA,NA,NA,NA,NA,NA,0
2012-10-09,NA,NA,NA,NA,NA,NA,0
2012-10-10,NA,NA,NA,NA,NA,NA,0
2012-10-11,NA,NA,NA,NA,NA,NA,0
2012-10-12,NA,NA,NA,NA,NA,NA,0
2012-10-13,NA,NA,NA,NA,NA,NA,0
2012-10-14,NA,NA,NA,NA,NA,NA,0
2012-10-15,NA,NA,NA,NA,NA,NA,0
2012-10-16,NA,NA,NA,NA,NA,NA,0
2012-10-17,NA,NA,NA,NA,NA,NA,0
2012-10-18,NA,NA,NA,NA,NA,NA,0
2012-10-19,NA,NA,NA,NA,NA,NA,0
2012-10-22,NA,NA,NA,NA,NA,NA,0
2012-10-23,NA,NA,NA,NA,NA,NA,0
2012-10-24,NA,NA,NA,NA,NA,NA,0
2012-10-25,NA,NA,NA,NA,NA,NA,0
2012-10-26,NA,NA,NA,NA,NA,NA,0
2012-10-29,NA,NA,NA,NA,NA,NA,0
2012-10-30,NA,NA,NA,NA,NA,NA,0
2012-10-31,NA,NA,NA,NA,NA,NA,0
2012-11-01,NA,NA,NA,NA,NA,NA,0
2012-11-02,NA,NA,NA,NA,NA,NA,0
2012-11-05,NA,NA,NA,NA,NA,NA,0
2012-11-06,NA,NA,NA,NA,NA,NA,0
2012-11-07,NA,NA,NA,NA,NA,NA,0
2012-11-08,NA,NA,NA,NA,NA,NA,0
2012-11-09,NA,NA,NA,NA,NA,NA,0
2012-11-12,NA,NA,NA,NA,NA,NA,0
2012-11-13,NA,NA,NA,NA,NA,NA,0
2012-11-14,NA,NA,NA,NA,NA,NA,0
2012-11-15,NA,NA,NA,NA,NA,NA,0
2012-11-16,NA,NA,NA,NA,NA,NA,0
2012-11-19,NA,NA,NA,NA,NA,NA,0
2012-11-20,NA,NA,NA,NA,NA,NA,0
2012-11-21,NA,NA,NA,NA,NA,NA,0
2012-11-22,NA,NA,NA,NA,NA,NA,0
2012-11-23,NA,NA,NA,NA,NA,NA,0
2012-11-26,NA,NA,NA,NA,NA,NA,0
2012-11-27,NA,NA,NA,NA,NA,NA,0
2012-11-28,NA,NA,NA,NA,NA,NA,0
2012-11-29,NA,NA,NA,NA,NA,NA,0
2012-11-30,NA,NA,NA,NA,NA,NA,0
2012-12-03,NA,NA,NA,NA,NA,NA,0
2012-12-04,NA,NA,NA,NA,NA,NA,0
2012-12-05,NA,NA,NA,NA,NA,NA,0
2012-12-06,NA,NA,NA,NA,NA,NA,0
2012-12-07,NA,NA,NA,NA,NA,NA,0
2012-12-10,NA,NA,NA,NA,NA,NA,0
2012-12-11,NA,NA,NA,NA,NA,NA,0
2012-12-12,NA,NA,NA,NA,NA,NA,0
2012-12-13,NA,NA,NA,NA,NA,NA,0
2012-12-14,NA,NA,NA,NA,NA,NA,0
2012-12-17,NA,NA,NA,NA,NA,NA,0
2012-12-18,NA,NA,NA,NA,NA,NA,0
2012-12-19,NA,NA,NA,NA,NA,NA,0
2012-12-20,NA,NA,NA,NA,NA,NA,0
2012-12-21,NA,NA,NA,NA,NA,NA,0
2012-12-24,NA,NA,NA,NA,NA,NA,0
2012-12-25,NA,NA,NA,NA,NA,NA,0
2012-12-26,NA,NA,NA,NA,NA,NA,0
2012-12-27,NA,NA,NA,NA,NA,NA,0
2012-12-28,NA,NA,NA,NA,NA,NA,0
2012-12-29,NA,NA,NA,NA,NA,NA,0
2012-12-30,NA,NA,NA,NA,NA,NA,0
2012-12-31,NA,NA,NA,NA,NA,NA,0
2013-01-01,NA,NA,NA,NA,NA,NA,0
2013-01-02,NA,NA,NA,NA,NA,NA,0
2013-01-03,NA,NA,NA,NA,NA,NA,0
2013-01-04,NA,NA,NA,NA,NA,NA,0
2013-01-05,NA,NA,NA,NA,NA,NA,0
2013-03-25,NA,NA,NA,NA,NA,NA,0
2013-03-26,NA,NA,NA,NA,NA,NA,0
2013-03-27,NA,NA,NA,NA,NA,NA,0
2013-03-28,NA,NA,NA,NA,NA,NA,0
2013-03-29,NA,NA,NA,NA,NA,NA,0
2013-03-30,NA,NA,NA,NA,NA,NA,0
2013-03-31,NA,NA,NA,NA,NA,NA,0
2013-04-01,NA,NA,NA,NA,NA,NA,0
2013-04-02,NA,NA,NA,NA,NA,NA,0
2013-04-03,NA,NA,NA,NA,NA,NA,0
2013-04-04,NA,NA,NA,NA,NA,NA,0
2013-04-05,NA,NA,NA,NA,NA,NA,0
2013-04-06,NA,NA,NA,NA,NA,NA,0
2013-04-07,NA,NA,NA,NA,NA,NA,0
2013-04-08,NA,NA,NA,NA,NA,NA,0
2013-04-09,NA,NA,NA,NA,NA,NA,0
2013-04-30,NA,NA,NA,NA,NA,NA,0
2013-05-01,NA,NA,NA,NA,NA,NA,0
2013-05-02,NA,NA,NA,NA,NA,NA,0
2013-05-03,NA,NA,NA,NA,NA,NA,0
2013-05-04,NA,NA,NA,NA,NA,NA,0
2013-05-05,NA,NA,NA,NA,NA,NA,0
2013-05-06,NA,NA,NA,NA,NA,NA,0
2013-05-07,NA,NA,NA,NA,NA,NA,0
2013-05-08,NA,NA,NA,NA,NA,NA,0
2013-05-09,NA,NA,NA,NA,NA,NA,0
2013-05-10,NA,NA,NA,NA,NA,NA,0
2013-05-11,NA,NA,NA,NA,NA,NA,0
2013-05-12,NA,NA,NA,NA,NA,NA,0
2013-05-13,NA,NA,NA,NA,NA,NA,0
2013-05-14,NA,NA,NA,NA,NA,NA,0
2013-05-15,NA,NA,NA,NA,NA,NA,0
2013-05-16,NA,NA,NA,NA,NA,NA,0
2013-05-17,NA,NA,NA,NA,NA,NA,0
2013-05-18,NA,NA,NA,NA,NA,NA,0
2013-05-19,NA,NA,NA,NA,NA,NA,0
2013-05-20,NA,NA,NA,NA,NA,NA,0
2013-05-21,NA,NA,NA,NA,NA,NA,0
2013-05-22,NA,NA,NA,NA,NA,NA,0
2013-05-23,NA,NA,NA,NA,NA,NA,0
2013-05-24,NA,NA,NA,NA,NA,NA,0
2013-05-25,NA,NA,NA,NA,NA,NA,0
2013-05-26,NA,NA,NA,NA,NA,NA,0
2013-05-27,NA,NA,NA,NA,NA,NA,0
2013-05-28,NA,NA,NA,NA,NA,NA,0
2013-05-29,NA,NA,NA,NA,NA,NA,0
2013-05-30,NA,NA,NA,NA,NA,NA,0
2013-05-31,NA,NA,NA,NA,NA,NA,0
2013-06-01,NA,NA,NA,NA,NA,NA,0
2013-06-02,NA,NA,NA,NA,NA,NA,0
2013-06-03,NA,NA,NA,NA,NA,NA,0
2013-06-04,NA,NA,NA,NA,NA,NA,0
2013-06-05,NA,NA,NA,NA,NA,NA,0
2013-06-06,NA,NA,NA,NA,NA,NA,0
2013-06-07,NA,NA,NA,NA,NA,NA,0
2013-06-08,NA,NA,NA,NA,NA,NA,0
2013-06-09,NA,NA,NA,NA,NA,NA,0
2013-06-10,NA,NA,NA,NA,NA,NA,0
2013-06-11,NA,NA,NA,NA,NA,NA,0
2013-06-12,NA,NA,NA,NA,NA,NA,0
2013-06-14,NA,NA,NA,NA,NA,NA,0
2013-06-15,NA,NA,NA,NA,NA,NA,0
2013-06-16,NA,NA,NA,NA,NA,NA,0
2013-06-17,NA,NA,NA,NA,NA,NA,0
2013-06-18,NA,NA,NA,NA,NA,NA,0
2013-06-19,NA,NA,NA,NA,NA,NA,0
2013-06-20,NA,NA,NA,NA,NA,NA,0
2013-06-21,NA,NA,NA,NA,NA,NA,0
2013-06-22,NA,NA,NA,NA,NA,NA,0
2013-06-23,NA,NA,NA,NA,NA,NA,0
2013-06-24,NA,NA,NA,NA,NA,NA,0
2013-06-25,NA,NA,NA,NA,NA,NA,0
2013-06-26,NA,NA,NA,NA,NA,NA,0
2013-06-27,NA,NA,NA,NA,NA,NA,0
2013-06-28,NA,NA,NA,NA,NA,NA,0
2013-06-29,NA,NA,NA,NA,NA,NA,0
2013-06-30,NA,NA,NA,NA,NA,NA,0
2013-07-01,148.828353112183,535.856284785361,201.198425690037,65.890168799361,317.47587493303803,NA,NA
2013-07-02,159.79375714468,546.780787392297,265.261253994438,74.5439171827412,383.628681612577,NA,NA
2013-07-03,111.885593514353,427.343258749983,210.260241465493,69.2627280649987,305.523072325318,NA,NA
2013-07-04,168.864940979931,454.859641347987,190.686641378586,61.490175369225,308.408167942149,NA,NA
2013-07-05,171.280754117955,492.818804066088,181.644870215041,86.7598614451924,355.518770367742,NA,NA
2013-07-06,174.552359998476,631.906068038484,291.557959835153,80.6465768881107,361.866932797941,NA,NA
2013-07-07,92.6377553788373,695.25572963054,279.665938833443,94.6039024817053,370.20960108863,NA,NA
2013-07-08,135.500244042392,538.529249911711,195.158794309303,49.5000238633042,285.233382496522,NA,NA
2013-07-09,136.048382778344,585.957264698849,245.808338509722,75.2089975834558,342.089345776475,NA,NA
2013-07-10,135.132314289581,567.365764527953,265.109142544045,73.8056511129258,343.353066508123,NA,NA
2013-07-11,138.549392636714,569.109374584873,234.65807920749,68.6330279122302,315.911756962233,NA,NA
2013-07-12,101.447511461298,600.267914678783,290.199097765019,NA,362.802489634211,NA,NA
2013-07-13,141.233309883732,747.140776382576,340.046632736531,74.2744737887665,359.166188843392,NA,NA
2013-07-14,112.524365708762,777.048841669282,320.626816189556,115.271617188867,461.082124524619,NA,NA
2013-07-15,161.264677322182,596.995099998235,243.526401440661,99.4935305857439,380.68369651152,NA,NA
2013-07-16,116.821358174215,558.797138274201,287.415464972525,91.7796976081033,320.43533597922,NA,NA
2013-07-17,150.572919592838,628.325718978073,301.777437970497,NA,396.99424714406,NA,NA
2013-07-18,101.90072129658,647.822253705942,250.426586853024,89.2058404577425,300.398790118057,NA,NA
2013-07-19,161.63511518654,646.788959790823,287.18828629416,62.0636098816993,369.400389277533,NA,NA
2013-07-20,134.328076682024,843.051280035386,394.765674710477,69.9369965472912,346.154004294146,NA,NA
2013-07-21,66.2887578161955,815.942264195776,346.658236387984,82.6826868784511,287.443788531561,NA,NA
2013-07-22,131.223948997842,647.682748973215,297.712614415266,99.3353908053911,356.484067206325,NA,NA
2013-07-23,110.315246796665,691.043662205889,323.301431663341,70.5290024618065,316.29681714496,NA,NA
2013-07-24,141.891908195545,698.340862077002,328.023102507764,83.5816326885927,327.339400651794,NA,NA
2013-07-25,167.701216640907,681.250768331783,280.809721012322,65.8902979709521,303.192537586556,NA,NA
2013-07-26,147.272084366206,718.016648132155,352.293883343641,53.1984562311259,331.522091778847,NA,NA
2013-07-27,161.403357795112,855.619095347599,382.965879977945,NA,358.892714466409,NA,NA
2013-07-28,86.0791432446654,871.802546455837,360.096105223697,NA,437.824795495097,NA,NA
2013-07-29,183.564164400591,672.50214523923,356.033434735079,NA,368.951029057165,NA,NA
2013-07-30,132.111640117897,690.117757120039,354.531775116541,NA,424.086156965952,NA,NA
2013-07-31,144.745431773143,667.842224335937,321.075920611583,NA,426.985804024935,NA,NA
2013-08-01,157.854023011106,667.213719343287,304.830310037868,60.5614573229725,322.294307178179,NA,NA
2013-08-02,117.359342094889,689.695100983376,379.526700654912,68.1222020855149,282.371517214865,NA,NA
2013-08-03,186.027178770079,930.801703150498,454.705780795563,51.2749992906831,399.283316370115,NA,NA
2013-08-04,104.708216687715,862.752429028985,382.85648750844,67.1568816245378,461.704848992483,NA,NA
2013-08-05,146.775309890073,520.947179812455,331.615355447409,NA,354.247243408463,NA,NA
2013-08-06,131.956277381283,498.920948322354,344.104806694018,69.705360420462,441.521507016938,NA,NA
2013-08-07,160.593417296116,519.197204695832,341.483544581514,83.1094116270633,423.850318191533,NA,NA
2013-08-08,153.099424561652,486.25509543792,298.005519792868,96.7720958104522,464.87537153539,NA,NA
2013-08-09,125.620344387906,539.975155104136,328.22992428157,81.4817797241125,450.085987485785,NA,NA
2013-08-10,185.177162656408,614.511830668785,351.617029216224,59.9811123644503,450.993337129113,NA,NA
2013-08-11,73.2088330039992,666.9113081568,341.033029953849,60.7087857619079,583.491717818235,NA,NA
2013-08-12,154.504729536697,510.019126480035,253.6233554703,97.7406166426712,356.026341718574,NA,NA
2013-08-13,134.064451548102,535.403212817658,271.591283834177,113.863641914766,344.643463915453,NA,NA
2013-08-14,156.972510536869,520.123590697437,309.116290264651,105.567865241887,441.253111778104,NA,NA
2013-08-15,164.763795399756,538.231262832354,266.575408936199,59.7561020638342,416.610037755781,NA,NA
2013-08-16,147.79799759804,552.153714601025,241.76897512804,75.2564619591539,344.468629393561,NA,NA
2013-08-17,221.630418006017,583.657434231324,280.170045804428,96.5293135082104,519.834929394153,NA,NA
