Datum;Wochentag;Name;Art;Details
29.09.2015;Dienstag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
03.10.2015;Samstag;Tag der Deutschen Einheit;Nationaler Feiertag;
03.10.2015;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
03.10.2015;Samstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
04.10.2015;Sonntag;Erntedankfest;Fest- oder Gedenktag;
04.10.2015;Sonntag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
05.10.2015;Montag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
06.10.2015;Dienstag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
24.10.2015;Samstag;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
25.10.2015;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2015;Freitag;Weltspartag;Fest- oder Gedenktag;
31.10.2015;Samstag;Reformationstag;Regionaler Feiertag;BB, MVP, SN, ST, TH
31.10.2015;Samstag;Halloween;Fest- oder Gedenktag;
01.11.2015;Sonntag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
01.11.2015;Sonntag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
02.11.2015;Montag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2015;Montag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2015;Montag;45239;Fest- oder Gedenktag;Berlin
09.11.2015;Montag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2015;Mittwoch;St. Martin;Fest- oder Gedenktag, Christlich;
15.11.2015;Sonntag;Volkstrauertag;Stiller Tag;
18.11.2015;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
18.11.2015;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
18.11.2015;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
22.11.2015;Sonntag;Totensonntag;Stiller Tag;
29.11.2015;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2015;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
06.12.2015;Sonntag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2015;Dienstag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
13.12.2015;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2015;Samstag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
20.12.2015;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
22.12.2015;Dienstag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2015;Donnerstag;Heiligabend;Stiller Tag;
25.12.2015;Freitag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2015;Samstag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2015;Donnerstag;Silvester;Bankfeiertag;
