Datum;Wochentag;Name;Art;Details
25.09.2014;Donnerstag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
26.09.2014;Freitag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
03.10.2014;Freitag;Tag der Deutschen Einheit;Nationaler Feiertag;
04.10.2014;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
04.10.2014;Samstag;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
05.10.2014;Sonntag;Erntedankfest;Fest- oder Gedenktag;
05.10.2014;Sonntag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
09.10.2014;Donnerstag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
10.10.2014;Freitag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
14.10.2014;Dienstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
15.10.2014;Mittwoch;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
16.10.2014;Donnerstag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
17.10.2014;Freitag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
26.10.2014;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2014;Donnerstag;Weltspartag;Fest- oder Gedenktag;
31.10.2014;Freitag;Reformationstag;Regionaler Feiertag;BB, MVP, SN, ST, TH
31.10.2014;Freitag;Halloween;Fest- oder Gedenktag;
01.11.2014;Samstag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
01.11.2014;Samstag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
02.11.2014;Sonntag;Allerseelen;Stiller Tag;Niedersachsen*
03.11.2014;Montag;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
09.11.2014;Sonntag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2014;Sonntag;Fall der Mauer;Fest- oder Gedenktag;Berlin
11.11.2014;Dienstag;St. Martin;Fest- oder Gedenktag, Christlich;
16.11.2014;Sonntag;Volkstrauertag;Stiller Tag;
19.11.2014;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
19.11.2014;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
19.11.2014;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
23.11.2014;Sonntag;Totensonntag;Stiller Tag;
30.11.2014;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2014;Samstag;Nikolaustag;Fest- oder Gedenktag, Christlich;
07.12.2014;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
08.12.2014;Montag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
14.12.2014;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2014;Freitag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2014;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
22.12.2014;Montag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2014;Mittwoch;Heiligabend;Stiller Tag;
25.12.2014;Donnerstag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2014;Freitag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2014;Mittwoch;Silvester;Bankfeiertag;
