Datum;Wochentag;Name;Art;Details
26.05.2022;Donnerstag;Vatertag;Fest- oder Gedenktag;
26.05.2022;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
01.06.2022;Mittwoch;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2022;Freitag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
05.06.2022;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
05.06.2022;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
05.06.2022;Sonntag;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
06.06.2022;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
06.06.2022;Montag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
16.06.2022;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
17.06.2022;Freitag;Gedenktag für die Opfer des SED-Unrechts;Fest- oder Gedenktag;Berlin, Thüringen
19.06.2022;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
21.06.2022;Dienstag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2022;Freitag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
25.06.2022;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2022;Mittwoch;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
10.07.2022;Sonntag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
08.08.2022;Montag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
08.08.2022;Montag;Aschura (vorläufiges Datum);Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
15.08.2022;Montag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
15.08.2022;Montag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
01.09.2022;Donnerstag;Antikriegstag;Fest- oder Gedenktag;
10.09.2022;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
11.09.2022;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
20.09.2022;Dienstag;Weltkindertag;Regionaler Feiertag;Thüringen
20.09.2022;Dienstag;Weltkindertag;Fest- oder Gedenktag;
23.09.2022;Freitag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
26.09.2022;Montag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
27.09.2022;Dienstag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
01.10.2022;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
02.10.2022;Sonntag;Erntedankfest;Fest- oder Gedenktag;
03.10.2022;Montag;Tag der Deutschen Einheit;Nationaler Feiertag;
05.10.2022;Mittwoch;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
09.10.2022;Sonntag;Großelterntag;Fest- oder Gedenktag;Bayern
10.10.2022;Montag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
11.10.2022;Dienstag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
15.10.2022;Samstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
16.10.2022;Sonntag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
17.10.2022;Montag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
18.10.2022;Dienstag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
28.10.2022;Freitag;Weltspartag;Fest- oder Gedenktag;
30.10.2022;Sonntag;Ende der Sommerzeit;Zeitumstellung;
31.10.2022;Montag;Reformationstag;Fest- oder Gedenktag, Christlich;Bremen, BW
31.10.2022;Montag;Reformationstag;Regionaler Feiertag;BB, HB, HH, MVP, NDS, SH, SN, ST, TH
31.10.2022;Montag;Halloween;Fest- oder Gedenktag;
01.11.2022;Dienstag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
01.11.2022;Dienstag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
02.11.2022;Mittwoch;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2022;Mittwoch;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2022;Mittwoch;45239;Fest- oder Gedenktag;Berlin
09.11.2022;Mittwoch;Fall der Mauer;Fest- oder Gedenktag;
11.11.2022;Freitag;St. Martin;Fest- oder Gedenktag, Christlich;
13.11.2022;Sonntag;Volkstrauertag;Stiller Tag;
16.11.2022;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
16.11.2022;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
16.11.2022;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
20.11.2022;Sonntag;Totensonntag;Stiller Tag;
27.11.2022;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
04.12.2022;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
06.12.2022;Dienstag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2022;Donnerstag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
11.12.2022;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
18.12.2022;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
19.12.2022;Montag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2022;Mittwoch;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2022;Samstag;Heiligabend;Stiller Tag;
25.12.2022;Sonntag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2022;Montag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2022;Samstag;Silvester;Bankfeiertag;
