Datum;Wochentag;Name;Art;Details
24.06.2013;Montag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
29.06.2013;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2013;Samstag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
08.08.2013;Donnerstag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
08.08.2013;Donnerstag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
15.08.2013;Donnerstag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
15.08.2013;Donnerstag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
01.09.2013;Sonntag;Antikriegstag;Fest- oder Gedenktag;
05.09.2013;Donnerstag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
06.09.2013;Freitag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
08.09.2013;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
14.09.2013;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
14.09.2013;Samstag;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
19.09.2013;Donnerstag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
20.09.2013;Freitag;Weltkindertag;Fest- oder Gedenktag;
20.09.2013;Freitag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
22.09.2013;Sonntag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
24.09.2013;Dienstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
25.09.2013;Mittwoch;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
26.09.2013;Donnerstag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
27.09.2013;Freitag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
03.10.2013;Donnerstag;Tag der Deutschen Einheit;Nationaler Feiertag;
05.10.2013;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
06.10.2013;Sonntag;Erntedankfest;Fest- oder Gedenktag;
15.10.2013;Dienstag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
27.10.2013;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2013;Mittwoch;Weltspartag;Fest- oder Gedenktag;
31.10.2013;Donnerstag;Reformationstag;Regionaler Feiertag;BB, MVP, SN, ST, TH
31.10.2013;Donnerstag;Halloween;Fest- oder Gedenktag;
01.11.2013;Freitag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
01.11.2013;Freitag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
02.11.2013;Samstag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2013;Samstag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2013;Samstag;45239;Fest- oder Gedenktag;Berlin
09.11.2013;Samstag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2013;Montag;St. Martin;Fest- oder Gedenktag, Christlich;
14.11.2013;Donnerstag;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
17.11.2013;Sonntag;Volkstrauertag;Stiller Tag;
20.11.2013;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
20.11.2013;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
20.11.2013;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
24.11.2013;Sonntag;Totensonntag;Stiller Tag;
01.12.2013;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2013;Freitag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2013;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
08.12.2013;Sonntag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
15.12.2013;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2013;Donnerstag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2013;Samstag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
22.12.2013;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
24.12.2013;Dienstag;Heiligabend;Stiller Tag;
25.12.2013;Mittwoch;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2013;Donnerstag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2013;Dienstag;Silvester;Bankfeiertag;
