Datum;Wochentag;Name;Art;Details
11.11.2016;Freitag;St. Martin;Fest- oder Gedenktag, Christlich;
13.11.2016;Sonntag;Volkstrauertag;Stiller Tag;
16.11.2016;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
16.11.2016;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
16.11.2016;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
20.11.2016;Sonntag;Totensonntag;Stiller Tag;
27.11.2016;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
04.12.2016;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
06.12.2016;Dienstag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2016;Donnerstag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
11.12.2016;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
18.12.2016;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
19.12.2016;Montag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2016;Mittwoch;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2016;Samstag;Heiligabend;Stiller Tag;
25.12.2016;Sonntag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2016;Montag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2016;Samstag;Silvester;Bankfeiertag;
