Datum;Wochentag;Name;Art;Details
27.04.2017;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
30.04.2017;Sonntag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2017;Montag;Tag der Arbeit;Nationaler Feiertag;
05.05.2017;Freitag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2017;Montag;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2017;Dienstag;Europatag (EU);Fest- oder Gedenktag;
14.05.2017;Sonntag;Muttertag;Fest- oder Gedenktag;
23.05.2017;Dienstag;Tag des Grundgesetzes;Fest- oder Gedenktag;
25.05.2017;Donnerstag;Vatertag;Fest- oder Gedenktag;
25.05.2017;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
31.05.2017;Mittwoch;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
01.06.2017;Donnerstag;Internationaler Kindertag;Fest- oder Gedenktag;
01.06.2017;Donnerstag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
03.06.2017;Samstag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
04.06.2017;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
04.06.2017;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
05.06.2017;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
15.06.2017;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
17.06.2017;Samstag;Gedenktag für die Opfer des SED-Unrechts;Fest- oder Gedenktag;Berlin, Thüringen
18.06.2017;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
21.06.2017;Mittwoch;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2017;Samstag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
24.06.2017;Samstag;Tag der Architektur;Fest- oder Gedenktag;
26.06.2017;Montag;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
29.06.2017;Donnerstag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
08.08.2017;Dienstag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
15.08.2017;Dienstag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
15.08.2017;Dienstag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
01.09.2017;Freitag;Antikriegstag;Fest- oder Gedenktag;
02.09.2017;Samstag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
09.09.2017;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
10.09.2017;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
16.09.2017;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
20.09.2017;Mittwoch;Weltkindertag;Fest- oder Gedenktag;
21.09.2017;Donnerstag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
22.09.2017;Freitag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
22.09.2017;Freitag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
30.09.2017;Samstag;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
01.10.2017;Sonntag;Erntedankfest;Fest- oder Gedenktag;
01.10.2017;Sonntag;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
03.10.2017;Dienstag;Tag der Deutschen Einheit;Nationaler Feiertag;
05.10.2017;Donnerstag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
06.10.2017;Freitag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
10.10.2017;Dienstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
11.10.2017;Mittwoch;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
12.10.2017;Donnerstag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
13.10.2017;Freitag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
29.10.2017;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2017;Montag;Weltspartag;Fest- oder Gedenktag;
31.10.2017;Dienstag;Reformationstag;Nationaler Feiertag;
31.10.2017;Dienstag;Halloween;Fest- oder Gedenktag;
01.11.2017;Mittwoch;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
01.11.2017;Mittwoch;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
02.11.2017;Donnerstag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2017;Donnerstag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2017;Donnerstag;45239;Fest- oder Gedenktag;Berlin
09.11.2017;Donnerstag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2017;Samstag;St. Martin;Fest- oder Gedenktag, Christlich;
19.11.2017;Sonntag;Volkstrauertag;Stiller Tag;
22.11.2017;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
22.11.2017;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
22.11.2017;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
26.11.2017;Sonntag;Totensonntag;Stiller Tag;
03.12.2017;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2017;Mittwoch;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2017;Freitag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
10.12.2017;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
17.12.2017;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2017;Dienstag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
21.12.2017;Donnerstag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2017;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
24.12.2017;Sonntag;Heiligabend;Stiller Tag;
25.12.2017;Montag;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2017;Dienstag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2017;Sonntag;Silvester;Bankfeiertag;
