Datum;Wochentag;Name;Art;Details
22.04.2019;Montag;Ostermontag;Nationaler Feiertag, Christlich;
23.04.2019;Dienstag;Tag des Deutschen Bieres;Fest- oder Gedenktag;
25.04.2019;Donnerstag;Pessach Tag 6;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
26.04.2019;Freitag;Pessach Tag 7;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
30.04.2019;Dienstag;Walpurgisnacht;Fest- oder Gedenktag;
01.05.2019;Mittwoch;Tag der Arbeit;Nationaler Feiertag;
05.05.2019;Sonntag;Europatag (Europarat);Fest- oder Gedenktag;
08.05.2019;Mittwoch;Jahrestag der Befreiung vom Nationalsozialismus;Fest- oder Gedenktag;B, BB, HB, MVP, TH
09.05.2019;Donnerstag;Europatag (EU);Fest- oder Gedenktag;
12.05.2019;Sonntag;Muttertag;Fest- oder Gedenktag;
23.05.2019;Donnerstag;Tag des Grundgesetzes;Fest- oder Gedenktag;
30.05.2019;Donnerstag;Vatertag;Fest- oder Gedenktag;
30.05.2019;Donnerstag;Christi Himmelfahrt;Nationaler Feiertag, Christlich;
01.06.2019;Samstag;Internationaler Kindertag;Fest- oder Gedenktag;
03.06.2019;Montag;Europäischer Tag des Fahrrads;Fest- oder Gedenktag;
05.06.2019;Mittwoch;Id al-Fitr;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
09.06.2019;Sonntag;Pfingsten;Christlich, Regionaler Feiertag;Brandenburg
09.06.2019;Sonntag;Pfingsten;Fest- oder Gedenktag, Christlich;Alle außer BB
09.06.2019;Sonntag;Schawuot Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
10.06.2019;Montag;Pfingstmontag;Nationaler Feiertag, Christlich;
10.06.2019;Montag;Schawuot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
16.06.2019;Sonntag;Mobil ohne Auto (autofreier Tag);Fest- oder Gedenktag;
17.06.2019;Montag;Gedenktag für die Opfer des SED-Unrechts;Fest- oder Gedenktag;Berlin, Thüringen
20.06.2019;Donnerstag;Fronleichnam;Christlich, Regionaler Feiertag;BW, BY, HE, NRW, RLP, SL, SN*, TH*
21.06.2019;Freitag;Juni-Sonnenwende;Jahreszeit (kein Feiertag);
24.06.2019;Montag;Johannistag;Fest- oder Gedenktag, Christlich;Sachsen
29.06.2019;Samstag;Tag der Architektur;Fest- oder Gedenktag;
29.06.2019;Samstag;Peter und Paul;Fest- oder Gedenktag, Christlich;Sachsen
08.08.2019;Donnerstag;Hohes Friedensfest Augsburg;Lokaler Feiertag;Bayern**
12.08.2019;Montag;Id al-Adha;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
15.08.2019;Donnerstag;Mariä Himmelfahrt;Fest- oder Gedenktag, Christlich;Sachsen, Thüringen
15.08.2019;Donnerstag;Mariä Himmelfahrt;Christlich, Regionaler Feiertag;Bayern*, Saarland
01.09.2019;Sonntag;Antikriegstag;Fest- oder Gedenktag;
08.09.2019;Sonntag;Tag des offenen Denkmals;Fest- oder Gedenktag;
10.09.2019;Dienstag;Aschura;Fest- oder Gedenktag, Muslimisch;Bremen, Hamburg
14.09.2019;Samstag;Tag der Deutschen Sprache;Fest- oder Gedenktag;
20.09.2019;Freitag;Weltkindertag;Regionaler Feiertag;Thüringen
20.09.2019;Freitag;Weltkindertag;Fest- oder Gedenktag;
23.09.2019;Montag;September-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
28.09.2019;Samstag;Deutscher Tafeltag;Fest- oder Gedenktag;
30.09.2019;Montag;Rosch ha-Schana (jüdisches Neujahr);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
01.10.2019;Dienstag;Rosch ha-Schana Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
03.10.2019;Donnerstag;Tag der Deutschen Einheit;Nationaler Feiertag;
06.10.2019;Sonntag;Erntedankfest;Fest- oder Gedenktag;
09.10.2019;Mittwoch;Jom Kippur (Versöhnungstag);Fest- oder Gedenktag, Jüdisch;BY, HB, NRW, SL
13.10.2019;Sonntag;Großelterntag;Fest- oder Gedenktag;Bayern
14.10.2019;Montag;Sukkot (Laubhüttenfest) beginnt;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
15.10.2019;Dienstag;Sukkot Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
19.10.2019;Samstag;Sukkot Tag 6;Fest- oder Gedenktag, Jüdisch;Bayern
20.10.2019;Sonntag;Sukkot Tag 7;Fest- oder Gedenktag, Jüdisch;Bayern
21.10.2019;Montag;Schmini Azeret;Fest- oder Gedenktag, Jüdisch;Bremen, Saarland
22.10.2019;Dienstag;Simchat Torah;Fest- oder Gedenktag, Jüdisch;Bremen
27.10.2019;Sonntag;Ende der Sommerzeit;Zeitumstellung;
30.10.2019;Mittwoch;Weltspartag;Fest- oder Gedenktag;
31.10.2019;Donnerstag;Reformationstag;Regionaler Feiertag;BB, HB, HH, MVP, NDS, SH, SN, ST, TH
31.10.2019;Donnerstag;Reformationstag;Fest- oder Gedenktag, Christlich;Bremen, BW
31.10.2019;Donnerstag;Halloween;Fest- oder Gedenktag;
01.11.2019;Freitag;Allerheiligen;Gesetzlicher Feiertag, stiller Tag;BW, BY, NRW, RLP, SL
01.11.2019;Freitag;Allerheiligen;Fest- oder Gedenktag, Christlich;HB, NDS*, SN, TH
02.11.2019;Samstag;Allerseelen;Stiller Tag;Niedersachsen*
09.11.2019;Samstag;Gedenken an die Reichspogromnacht;Fest- oder Gedenktag;
09.11.2019;Samstag;45239;Fest- oder Gedenktag;Berlin
09.11.2019;Samstag;Fall der Mauer;Fest- oder Gedenktag;
11.11.2019;Montag;St. Martin;Fest- oder Gedenktag, Christlich;
17.11.2019;Sonntag;Volkstrauertag;Stiller Tag;
20.11.2019;Mittwoch;Buß- und Bettag;Stiller Tag;BY, SL, SN
20.11.2019;Mittwoch;Buß- und Bettag;Christlich, Regionaler Feiertag;Sachsen
20.11.2019;Mittwoch;Buß- und Bettag;Fest- oder Gedenktag, Christlich;BW, HE, NDS, RLP, TH
24.11.2019;Sonntag;Totensonntag;Stiller Tag;
01.12.2019;Sonntag;Erster Advent;Fest- oder Gedenktag, Christlich;
06.12.2019;Freitag;Nikolaustag;Fest- oder Gedenktag, Christlich;
08.12.2019;Sonntag;Zweiter Advent;Fest- oder Gedenktag, Christlich;
08.12.2019;Sonntag;Mariä Empfängnis;Fest- oder Gedenktag, Christlich;Sachsen
15.12.2019;Sonntag;Dritter Advent;Fest- oder Gedenktag, Christlich;
19.12.2019;Donnerstag;Gedenktag für Opfer des Völkermords an Roma und Sinti;Fest- oder Gedenktag;
22.12.2019;Sonntag;Vierter Advent;Fest- oder Gedenktag, Christlich;
22.12.2019;Sonntag;Dezember-Sonnenwende;Jahreszeit (kein Feiertag);
24.12.2019;Dienstag;Heiligabend;Stiller Tag;
25.12.2019;Mittwoch;Erster Weihnachtstag;Nationaler Feiertag, Christlich;
26.12.2019;Donnerstag;Zweiter Weihnachtstag;Nationaler Feiertag, Christlich;
31.12.2019;Dienstag;Silvester;Bankfeiertag;
