"Datum","Warengruppe","Umsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","weekday"
2013-08-09,"Brot",125.620344387906,FALSE,4,20.3375,10,21,"Friday"
2013-08-10,"Brot",185.177162656408,FALSE,7,19.3625,12,61,"Saturday"
2013-08-11,"Brot",73.2088330039992,FALSE,7,16.3875,9,61,"Sunday"
2013-08-12,"Brot",154.504729536697,FALSE,7,16.45,11,63,"Monday"
2013-08-13,"Brot",134.064451548102,FALSE,3,16.4,16,95,"Tuesday"
2013-08-14,"Brot",156.972510536869,FALSE,4,18.2625,18,61,"Wednesday"
2013-08-15,"Brot",164.763795399756,FALSE,3,19.8,8,NA,"Thursday"
2013-08-16,"Brot",147.79799759804,FALSE,4,23.575,11,0,"Friday"
2013-08-17,"Brot",221.630418006017,FALSE,6,20.55,7,0,"Saturday"
2013-08-18,"Brot",92.489778506026,FALSE,7,18.5875,10,63,"Sunday"
2013-08-19,"Brot",145.87913275728,FALSE,5,18.4875,8,NA,"Monday"
2013-08-20,"Brot",111.842396126739,FALSE,7,17.775,8,61,"Tuesday"
2013-08-21,"Brot",125.336522713024,FALSE,5,20.125,8,NA,"Wednesday"
2013-08-22,"Brot",132.916428220302,FALSE,4,21.6625,8,NA,"Thursday"
2013-08-23,"Brot",162.958958703106,FALSE,1,22.0375,14,NA,"Friday"
2013-08-24,"Brot",201.543109556297,FALSE,0,20.85,16,5,"Saturday"
2013-08-25,"Brot",83.0226725739551,FALSE,0,21.3875,16,5,"Sunday"
2013-08-26,"Brot",165.829031676714,FALSE,0,20.125,15,5,"Monday"
2013-08-27,"Brot",118.473650434102,FALSE,1,21.0875,12,NA,"Tuesday"
2013-08-28,"Brot",108.876991442649,FALSE,0,21.3,7,NA,"Wednesday"
2013-08-29,"Brot",178.178023803315,FALSE,3,20.2125,11,NA,"Thursday"
2013-08-30,"Brot",133.150828452892,FALSE,6,19.7875,8,5,"Friday"
2013-08-31,"Brot",130.821314898435,FALSE,5,18.35,16,21,"Saturday"
2013-09-01,"Brot",95.9704314892471,FALSE,7,15.8625,16,61,"Sunday"
2013-09-02,"Brot",138.408723210465,FALSE,7,16.575,17,63,"Monday"
2013-09-03,"Brot",138.825618927843,FALSE,7,18.225,11,21,"Tuesday"
2013-09-04,"Brot",100.221969526295,FALSE,7,18.125,5,NA,"Wednesday"
2013-09-05,"Brot",173.658100347255,FALSE,0,21.7,8,NA,"Thursday"
2013-09-06,"Brot",171.415179710314,FALSE,0,24.7,9,NA,"Friday"
2013-09-07,"Brot",186.034060963767,FALSE,6,22.7625,7,NA,"Saturday"
2013-09-08,"Brot",88.8925958109828,FALSE,7,20.1625,8,61,"Sunday"
2013-09-09,"Brot",169.359968504942,FALSE,8,11.575,11,63,"Monday"
2013-09-10,"Brot",89.6944536084346,FALSE,6,13.5875,11,65,"Tuesday"
2013-09-11,"Brot",103.363686559795,FALSE,6,13.9,8,61,"Wednesday"
2013-09-12,"Brot",106.474399987548,FALSE,6,16.1125,6,61,"Thursday"
2013-09-13,"Brot",122.564626199915,FALSE,6,17.4375,5,21,"Friday"
2013-09-14,"Brot",174.938807466572,FALSE,5,17.625,10,63,"Saturday"
2013-09-15,"Brot",55.1960062296304,FALSE,7,14.8625,10,21,"Sunday"
2013-09-16,"Brot",146.760234890658,FALSE,3,13.1375,13,21,"Monday"
2013-09-17,"Brot",136.118044538363,FALSE,5,13.1375,10,63,"Tuesday"
2013-09-18,"Brot",152.255085210606,FALSE,4,13.05,9,NA,"Wednesday"
2013-09-19,"Brot",148.674992078993,FALSE,5,14.8375,11,63,"Thursday"
2013-09-20,"Brot",110.159250328825,FALSE,7,13.525,6,NA,"Friday"
2013-09-21,"Brot",178.263887943827,FALSE,7,15.35,9,NA,"Saturday"
2013-09-22,"Brot",86.6668973821597,FALSE,6,17.1375,14,21,"Sunday"
2013-09-23,"Brot",111.128410563554,FALSE,7,17.3125,14,21,"Monday"
2013-09-24,"Brot",139.64144576808,FALSE,8,15.7375,10,NA,"Tuesday"
2013-09-25,"Brot",117.94119333604,FALSE,6,13.5375,7,61,"Wednesday"
2013-09-26,"Brot",203.314345156607,FALSE,1,12.9875,12,NA,"Thursday"
2013-09-27,"Brot",135.507291692088,FALSE,5,13.0125,8,21,"Friday"
2013-09-28,"Brot",134.613756840197,FALSE,0,13.1,8,NA,"Saturday"
2013-09-29,"Brot",68.6316896995448,FALSE,3,14.175,12,NA,"Sunday"
2013-09-30,"Brot",156.502435955326,FALSE,1,12.825,14,NA,"Monday"
2013-10-01,"Brot",123.397540137977,FALSE,0,12.9125,13,5,"Tuesday"
2013-10-02,"Brot",196.720969158391,FALSE,1,12.7,10,NA,"Wednesday"
2013-10-03,"Brot",75.2337302417469,FALSE,0,11.7625,12,5,"Thursday"
2013-10-04,"Brot",156.066122625816,FALSE,5,11.2,8,63,"Friday"
2013-10-05,"Brot",152.280762053885,FALSE,7,15.575,8,20,"Saturday"
2013-10-06,"Brot",92.4805772695364,FALSE,7,15.25,6,NA,"Sunday"
2013-10-07,"Brot",124.841544023845,FALSE,1,16.275,7,NA,"Monday"
2013-10-08,"Brot",96.867100978839,FALSE,6,15.1125,8,61,"Tuesday"
2013-10-09,"Brot",149.761758936995,FALSE,7,14.3125,10,21,"Wednesday"
2013-10-10,"Brot",119.300284972145,FALSE,5,10.975,6,NA,"Thursday"
2013-10-11,"Brot",123.2348187168,FALSE,7,13.8625,20,10,"Friday"
2013-10-12,"Brot",140.262421715801,FALSE,8,13.025,21,63,"Saturday"
2013-10-13,"Brot",42.9967926268111,FALSE,5,10.8625,5,NA,"Sunday"
2013-10-14,"Brot",109.863744271226,FALSE,2,12.525,6,NA,"Monday"
2013-10-15,"Brot",130.431802598324,FALSE,7,10.6625,4,63,"Tuesday"
2013-10-16,"Brot",146.070583461057,FALSE,8,12.275,7,NA,"Wednesday"
2013-10-17,"Brot",89.9411837855476,FALSE,7,12,15,65,"Thursday"
2013-10-18,"Brot",111.233698203856,FALSE,1,9.075,9,NA,"Friday"
2013-10-19,"Brot",121.590860465012,FALSE,7,9.45,9,NA,"Saturday"
2013-10-20,"Brot",70.1419855298474,FALSE,7,15.1875,8,21,"Sunday"
2013-10-21,"Brot",122.987868193302,FALSE,7,14.2625,8,61,"Monday"
2013-10-22,"Brot",111.927088663048,FALSE,2,17.6375,7,NA,"Tuesday"
2013-10-23,"Brot",125.816016210178,FALSE,6,17.675,9,NA,"Wednesday"
2013-10-24,"Brot",123.163406361057,FALSE,5,12.6875,12,61,"Thursday"
2013-10-25,"Brot",113.661858634409,FALSE,7,11.8875,7,61,"Friday"
2013-10-26,"Brot",161.678805315967,FALSE,5,16.775,10,21,"Saturday"
2013-10-27,"Brot",102.355195816072,FALSE,6,14.9875,16,65,"Sunday"
2013-10-28,"Brot",129.482192717092,FALSE,7,14.3625,29,63,"Monday"
2013-10-29,"Brot",112.285893935052,FALSE,7,10.775,17,63,"Tuesday"
2013-10-30,"Brot",121.506077008915,FALSE,6,10.4375,10,61,"Wednesday"
2013-10-31,"Brot",133.723541287582,FALSE,5,11.1625,13,21,"Thursday"
2013-11-01,"Brot",100.182160485504,FALSE,8,10.625,9,63,"Friday"
2013-11-02,"Brot",149.172348030766,FALSE,8,8.8875,3,63,"Saturday"
2013-11-03,"Brot",97.4532740046654,FALSE,6,10.7,15,21,"Sunday"
2013-11-04,"Brot",137.864260444157,FALSE,7,6.8375,7,63,"Monday"
2013-11-05,"Brot",103.700267261952,FALSE,4,8.9,12,61,"Tuesday"
2013-11-06,"Brot",109.097001107423,FALSE,4,8.1375,12,63,"Wednesday"
2013-11-07,"Brot",118.470603286455,FALSE,6,9.5,10,61,"Thursday"
2013-11-08,"Brot",132.796244239256,FALSE,3,9.325,9,NA,"Friday"
2013-11-09,"Brot",99.9317959514759,FALSE,5,7.7,16,63,"Saturday"
2013-11-10,"Brot",108.561660295105,FALSE,2,6.9875,12,63,"Sunday"
2013-11-11,"Brot",124.580485617569,FALSE,2,8.3125,5,NA,"Monday"
2013-11-12,"Brot",111.970870543294,FALSE,7,5.9375,9,61,"Tuesday"
2013-11-13,"Brot",78.0382483442215,FALSE,1,8.8,12,0,"Wednesday"
2013-11-14,"Brot",121.180219705286,FALSE,5,6.9375,9,21,"Thursday"
2013-11-15,"Brot",122.76929773359,FALSE,7,6.45,6,21,"Friday"
2013-11-16,"Brot",126.793397398979,FALSE,8,8.875,12,NA,"Saturday"
2013-11-17,"Brot",74.3945185864517,FALSE,2,8.8875,8,0,"Sunday"
2013-11-18,"Brot",129.109032642028,FALSE,7,6.65,5,63,"Monday"
2013-11-19,"Brot",106.906118646237,FALSE,8,5.8375,8,61,"Tuesday"
2013-11-20,"Brot",124.324612351715,FALSE,6,3.85,6,NA,"Wednesday"
2013-11-21,"Brot",144.359927455555,FALSE,2,3.275,8,10,"Thursday"
2013-11-22,"Brot",107.962731413831,FALSE,7,5.375,10,21,"Friday"
2013-11-23,"Brot",96.5196766761341,FALSE,3,4.9125,6,NA,"Saturday"
2013-11-24,"Brot",76.4120061231823,FALSE,0,4.6,16,NA,"Sunday"
2013-11-25,"Brot",129.81992805086,FALSE,0,3.7,10,NA,"Monday"
2013-11-26,"Brot",123.431703158233,FALSE,2,2.3125,6,NA,"Tuesday"
2013-11-27,"Brot",93.5321454303922,FALSE,8,7.3125,12,61,"Wednesday"
2013-11-28,"Brot",128.842426194061,FALSE,2,8.025,18,NA,"Thursday"
2013-11-29,"Brot",104.966463375073,FALSE,8,5.9875,11,63,"Friday"
2013-11-30,"Brot",104.09003869481,FALSE,7,5.525,10,20,"Saturday"
2013-12-01,"Brot",68.0762231823542,FALSE,5,8.6625,20,61,"Sunday"
2013-12-02,"Brot",113.931498716313,FALSE,0,3.0625,4,10,"Monday"
2013-12-03,"Brot",94.7658652080226,FALSE,8,1.7125,6,28,"Tuesday"
2013-12-04,"Brot",128.922855106228,FALSE,7,5.85,11,63,"Wednesday"
2013-12-05,"Brot",120.974699669869,FALSE,7,4.4625,24,63,"Thursday"
2013-12-06,"Brot",112.015650593347,FALSE,6,1.7875,25,73,"Friday"
2013-12-07,"Brot",121.408564819885,FALSE,5,1,11,22,"Saturday"
2013-12-08,"Brot",36.2650169585334,FALSE,8,6.975,16,63,"Sunday"
2013-12-09,"Brot",134.680550018524,FALSE,7,9.2375,10,45,"Monday"
2013-12-10,"Brot",104.352034970751,FALSE,7,7.1875,8,61,"Tuesday"
2013-12-11,"Brot",85.9079819233536,FALSE,7,5.025,9,10,"Wednesday"
2013-12-12,"Brot",88.2075449690532,FALSE,8,2.525,8,28,"Thursday"
2013-12-13,"Brot",85.5324935340658,FALSE,7,3.5375,6,61,"Friday"
2013-12-14,"Brot",120.787742012371,FALSE,7,3.0125,7,61,"Saturday"
2013-12-15,"Brot",71.5352172710921,FALSE,8,7.925,12,61,"Sunday"
2013-12-16,"Brot",120.791211521354,FALSE,8,8.775,12,NA,"Monday"
2013-12-17,"Brot",74.6283250889016,FALSE,8,4.95,8,61,"Tuesday"
2013-12-18,"Brot",86.4115250991858,FALSE,7,6.85,8,10,"Wednesday"
2013-12-19,"Brot",101.589644453608,FALSE,7,7.4,10,63,"Thursday"
2013-12-20,"Brot",114.601001275823,FALSE,7,5.2875,10,61,"Friday"
2013-12-21,"Brot",124.541759682586,FALSE,8,6.5625,13,63,"Saturday"
2013-12-22,"Brot",41.7300439888931,FALSE,7,8.1375,12,61,"Sunday"
2013-12-23,"Brot",183.608991270752,FALSE,3,5.4875,10,NA,"Monday"
2013-12-24,"Brot",220.330670230618,FALSE,7,11.4375,18,61,"Tuesday"
2013-12-27,"Brot",152.367434643543,FALSE,7,5.7625,15,63,"Friday"
2013-12-29,"Brot",131.267289010755,FALSE,7,5.7125,9,63,"Sunday"
2013-12-30,"Brot",126.58984459848,FALSE,4,4.75,11,10,"Monday"
2013-12-31,"Brot",211.390838466052,FALSE,4,5.0375,7,NA,"Tuesday"
2014-01-02,"Brot",153.166492227541,FALSE,7,6.25,9,63,"Thursday"
2014-01-03,"Brot",109.484763536521,FALSE,7,6.8375,10,63,"Friday"
2014-01-04,"Brot",116.250540066432,FALSE,5,6.9375,11,NA,"Saturday"
2014-01-05,"Brot",67.7899909491401,FALSE,7,6.1875,11,63,"Sunday"
2014-01-06,"Brot",146.911067784297,FALSE,7,7.9125,11,65,"Monday"
2014-01-07,"Brot",147.5457609484,FALSE,7,10.4375,13,NA,"Tuesday"
2014-01-08,"Brot",99.9068767897401,FALSE,7,8.6375,15,63,"Wednesday"
2014-01-09,"Brot",113.541525918277,FALSE,7,9.6125,16,61,"Thursday"
2014-01-10,"Brot",119.05554059635,FALSE,7,6.6375,17,61,"Friday"
2014-01-11,"Brot",127.95986526115,FALSE,7,5.5875,18,63,"Saturday"
2014-01-12,"Brot",83.4017498521773,FALSE,2,5.525,16,21,"Sunday"
2014-01-13,"Brot",103.994034974792,FALSE,8,3.1375,10,69,"Monday"
2014-01-14,"Brot",166.347532764571,FALSE,6,4.225,6,28,"Tuesday"
2014-01-15,"Brot",139.042567223334,FALSE,7,3.228571,7,28,"Wednesday"
2014-01-16,"Brot",117.779119691395,FALSE,8,2.7375,9,63,"Thursday"
2014-01-17,"Brot",94.7938386484339,FALSE,7,6.7375,4,61,"Friday"
2014-01-18,"Brot",102.633649837911,FALSE,7,5.8875,8,61,"Saturday"
2014-01-19,"Brot",53.0014671833047,FALSE,7,2.8625,19,10,"Sunday"
2014-01-20,"Brot",99.6819363621683,FALSE,8,0.3875,13,61,"Monday"
2014-01-21,"Brot",116.784600007305,FALSE,7,-0.65,7,77,"Tuesday"
2014-01-22,"Brot",102.344424741026,FALSE,8,-3.1125,14,22,"Wednesday"
2014-01-23,"Brot",105.740276056438,FALSE,8,-3.1875,11,22,"Thursday"
2014-01-24,"Brot",143.164448746188,FALSE,2,-5.1625,13,10,"Friday"
2014-01-25,"Brot",129.09233380561,FALSE,5,-7.0375,8,NA,"Saturday"
2014-01-26,"Brot",65.4883238458282,FALSE,1,-8.475,10,10,"Sunday"
2014-01-27,"Brot",177.797639286942,FALSE,5,0.7,9,69,"Monday"
2014-01-28,"Brot",63.9844736113181,FALSE,7,-0.2625,10,10,"Tuesday"
2014-01-29,"Brot",75.1156293987916,FALSE,7,-5.05,13,77,"Wednesday"
2014-01-30,"Brot",140.794194214435,FALSE,7,-4.4875,8,77,"Thursday"
2014-01-31,"Brot",133.303478983532,FALSE,8,-3.6875,7,10,"Friday"
2014-02-01,"Brot",101.932146850505,FALSE,7,3.225,10,63,"Saturday"
2014-02-02,"Brot",76.7574943519772,FALSE,0,5.4875,8,NA,"Sunday"
2014-02-03,"Brot",154.323103655617,FALSE,1,3.475,8,10,"Monday"
2014-02-04,"Brot",130.284962020954,FALSE,5,3.925,6,10,"Tuesday"
2014-02-05,"Brot",128.512982776585,FALSE,4,3.675,8,10,"Wednesday"
2014-02-06,"Brot",93.2145715747619,FALSE,7,7.875,11,20,"Thursday"
2014-02-07,"Brot",99.7607356052368,FALSE,7,8.475,15,63,"Friday"
2014-02-08,"Brot",120.862739831777,FALSE,7,6.2875,12,61,"Saturday"
2014-02-09,"Brot",57.0074894928223,FALSE,5,6.7125,15,63,"Sunday"
2014-02-10,"Brot",154.183743327497,FALSE,2,6.6375,9,NA,"Monday"
2014-02-11,"Brot",93.6050031862626,FALSE,7,4.925,12,61,"Tuesday"
2014-02-12,"Brot",165.738384661521,FALSE,4,6.1,13,10,"Wednesday"
2014-02-13,"Brot",112.481302733138,FALSE,5,7.45,13,NA,"Thursday"
2014-02-14,"Brot",127.922310495651,FALSE,5,5.2125,9,10,"Friday"
2014-02-15,"Brot",169.517528839106,FALSE,5,11.5,15,NA,"Saturday"
2014-02-16,"Brot",66.1488570531461,FALSE,7,6.0625,17,63,"Sunday"
2014-02-17,"Brot",139.563931976797,FALSE,0,6.6875,9,NA,"Monday"
2014-02-18,"Brot",101.128808084497,FALSE,7,7.8,8,10,"Tuesday"
2014-02-19,"Brot",139.712963296062,FALSE,7,6.325,8,61,"Wednesday"
2014-02-20,"Brot",115.493305434483,FALSE,6,9.1,11,10,"Thursday"
2014-02-21,"Brot",195.749507104036,FALSE,7,7.5125,11,61,"Friday"
2014-02-22,"Brot",138.333592943018,FALSE,7,5.925,11,21,"Saturday"
2014-02-23,"Brot",79.4422222430818,FALSE,1,8.625,12,NA,"Sunday"
2014-02-24,"Brot",152.556733984074,FALSE,1,9.4125,11,NA,"Monday"
2014-02-25,"Brot",115.741936459404,FALSE,1,10.475,7,NA,"Tuesday"
2014-02-26,"Brot",95.0173566075507,FALSE,5,10.1875,8,NA,"Wednesday"
2014-02-27,"Brot",142.599019478366,FALSE,1,8.8875,7,10,"Thursday"
2014-02-28,"Brot",121.868073185287,FALSE,7,6.1875,6,61,"Friday"
2014-03-01,"Brot",140.96854447309,FALSE,2,5.075,9,10,"Saturday"
2014-03-02,"Brot",78.304687930775,FALSE,6,6.5625,9,10,"Sunday"
2014-03-03,"Brot",123.816845981151,FALSE,0,9.1875,10,5,"Monday"
2014-03-04,"Brot",110.664379295042,FALSE,7,6.6875,7,10,"Tuesday"
2014-03-05,"Brot",104.010771805795,FALSE,7,4.6875,7,28,"Wednesday"
2014-03-06,"Brot",119.64957040592,FALSE,3,8.925,9,10,"Thursday"
2014-03-07,"Brot",115.297355656246,FALSE,6,11.275,10,5,"Friday"
2014-03-08,"Brot",116.679903321343,FALSE,0,9.9375,6,NA,"Saturday"
2014-03-09,"Brot",92.618539664325,FALSE,0,16.4,9,NA,"Sunday"
2014-03-10,"Brot",150.516891177572,FALSE,0,15.8,9,NA,"Monday"
2014-03-11,"Brot",151.221168841794,FALSE,0,7.85,9,NA,"Tuesday"
2014-03-12,"Brot",91.0474158512995,FALSE,0,10.2125,8,0,"Wednesday"
2014-03-13,"Brot",141.400369720196,FALSE,0,13.375,10,NA,"Thursday"
2014-03-14,"Brot",123.912083680615,FALSE,1,9.6125,10,NA,"Friday"
2014-03-15,"Brot",137.683942432828,FALSE,4,9.0375,27,NA,"Saturday"
2014-03-16,"Brot",67.1675793738149,FALSE,7,9.3375,24,61,"Sunday"
2014-03-17,"Brot",141.547905542998,FALSE,7,9.5875,18,61,"Monday"
2014-03-18,"Brot",88.2250444509535,FALSE,7,9.6875,16,21,"Tuesday"
2014-03-19,"Brot",99.6845823880711,FALSE,7,9.45,18,61,"Wednesday"
2014-03-20,"Brot",128.138232106811,FALSE,0,16.2625,13,NA,"Thursday"
2014-03-21,"Brot",104.8547456835,FALSE,7,6.8875,14,63,"Friday"
2014-03-22,"Brot",130.851901605861,FALSE,5,8.85,11,63,"Saturday"
2014-03-23,"Brot",71.128447822127,FALSE,4,8.3625,10,NA,"Sunday"
2014-03-24,"Brot",174.642338237835,FALSE,3,7.5625,7,NA,"Monday"
2014-03-25,"Brot",130.828394911681,FALSE,2,7.725,10,21,"Tuesday"
2014-03-26,"Brot",164.073709880608,FALSE,5,7.85,11,21,"Wednesday"
2014-03-27,"Brot",217.595707302914,FALSE,6,5.1,12,NA,"Thursday"
2014-03-28,"Brot",210.364589078685,FALSE,8,5.4,12,10,"Friday"
2014-03-29,"Brot",201.442576014825,FALSE,3,9.375,8,10,"Saturday"
2014-03-30,"Brot",77.0718729480323,FALSE,0,11.2625,8,28,"Sunday"
2014-03-31,"Brot",165.782083579859,FALSE,7,7.4375,4,45,"Monday"
2014-04-01,"Brot",143.934571968464,FALSE,8,5.7625,13,10,"Tuesday"
2014-04-02,"Brot",145.793768476637,FALSE,2,12.45,8,10,"Wednesday"
2014-04-03,"Brot",199.334213779063,FALSE,3,7.6125,15,10,"Thursday"
2014-04-04,"Brot",149.094869799179,FALSE,6,6.45,15,0,"Friday"
2014-04-05,"Brot",166.366651532902,FALSE,8,9.825,5,61,"Saturday"
2014-04-06,"Brot",79.4656989548114,FALSE,7,12.1875,8,63,"Sunday"
2014-04-07,"Brot",175.863088463562,FALSE,7,15.7875,10,63,"Monday"
2014-04-08,"Brot",104.711261779938,FALSE,7,9.8125,19,61,"Tuesday"
2014-04-09,"Brot",168.945582350845,FALSE,7,10.1875,20,21,"Wednesday"
2014-04-10,"Brot",153.689913112803,FALSE,7,9.75,4,NA,"Thursday"
2014-04-11,"Brot",150.197974521935,FALSE,6,12.0625,10,NA,"Friday"
2014-04-12,"Brot",230.41912840806,FALSE,4,11.2,12,0,"Saturday"
2014-04-13,"Brot",106.9717520005,FALSE,6,11.0125,21,NA,"Sunday"
2014-04-14,"Brot",126.41212420811,FALSE,5,8.9,23,61,"Monday"
2014-04-15,"Brot",109.472548649702,FALSE,0,9.9125,15,NA,"Tuesday"
2014-04-16,"Brot",110.647041867212,FALSE,0,11.3625,9,NA,"Wednesday"
2014-04-17,"Brot",259.250121969818,FALSE,5,14.4,14,NA,"Thursday"
2014-04-19,"Brot",290.428956680919,FALSE,1,11.125,13,5,"Saturday"
2014-04-20,"Brot",57.7509189177541,FALSE,0,13.875,15,5,"Sunday"
2014-04-21,"Brot",109.431179378053,FALSE,4,13.425,15,0,"Monday"
2014-04-22,"Brot",169.196248011103,FALSE,3,15.45,10,10,"Tuesday"
2014-04-23,"Brot",162.980101956576,FALSE,8,9.825,11,21,"Wednesday"
2014-04-24,"Brot",155.338780558714,FALSE,8,9.175,11,NA,"Thursday"
2014-04-25,"Brot",103.620395874603,FALSE,0,13.5625,12,NA,"Friday"
2014-04-26,"Brot",143.988134045973,FALSE,0,15.45,11,NA,"Saturday"
2014-04-27,"Brot",67.5791269771508,FALSE,0,16.225,16,NA,"Sunday"
2014-04-28,"Brot",142.899118015523,FALSE,0,15.8875,11,NA,"Monday"
2014-04-29,"Brot",145.382373304754,FALSE,0,18.0875,8,0,"Tuesday"
2014-04-30,"Brot",168.447583367336,FALSE,3,18,8,NA,"Wednesday"
2014-05-02,"Brot",194.877300541007,FALSE,6,10.225,13,NA,"Friday"
2014-05-05,"Brot",344.712427419033,FALSE,8,10.7125,6,21,"Monday"
2014-05-06,"Brot",117.634364611904,FALSE,7,15.775,9,NA,"Tuesday"
2014-05-07,"Brot",90.0459392081919,FALSE,4,14.2125,15,65,"Wednesday"
2014-05-08,"Brot",149.299133313087,FALSE,7,12.45,10,63,"Thursday"
2014-05-09,"Brot",93.4116822522153,FALSE,6,12.3875,10,61,"Friday"
2014-05-10,"Brot",123.724674602317,FALSE,7,13.275,12,61,"Saturday"
2014-05-11,"Brot",61.0065824620734,FALSE,7,11.5625,12,63,"Sunday"
2014-05-12,"Brot",117.63724487723,FALSE,7,12.7,14,63,"Monday"
2014-05-13,"Brot",140.036281903001,FALSE,7,11.5625,15,21,"Tuesday"
2014-05-14,"Brot",107.299783874075,FALSE,7,11.5625,16,NA,"Wednesday"
2014-05-15,"Brot",123.833393024816,FALSE,2,13.7875,8,NA,"Thursday"
2014-05-16,"Brot",182.247331664509,FALSE,5,13.8875,9,NA,"Friday"
2014-05-17,"Brot",128.405482365147,FALSE,0,16.625,8,0,"Saturday"
2014-05-18,"Brot",94.9265718873585,FALSE,4,16.5125,13,NA,"Sunday"
2014-05-19,"Brot",108.184039506908,FALSE,6,13.7625,8,61,"Monday"
2014-05-20,"Brot",112.779561925048,FALSE,0,20.725,12,NA,"Tuesday"
2014-05-21,"Brot",123.754439846218,FALSE,2,26.8625,8,NA,"Wednesday"
2014-05-22,"Brot",116.368035292474,FALSE,0,26.375,8,NA,"Thursday"
2014-05-23,"Brot",129.753386763715,FALSE,7,18.0125,12,65,"Friday"
2014-05-24,"Brot",117.223121200496,FALSE,2,17.9625,8,NA,"Saturday"
2014-05-25,"Brot",85.7502216285052,FALSE,2,20.4625,11,NA,"Sunday"
2014-05-26,"Brot",117.265384467109,FALSE,0,19.9625,13,NA,"Monday"
2014-05-27,"Brot",114.85034360851,FALSE,7,12.8875,21,21,"Tuesday"
2014-05-28,"Brot",190.55318445032,FALSE,7,10.2,22,21,"Wednesday"
2014-05-29,"Brot",85.879848415963,FALSE,4,12.7,14,NA,"Thursday"
2014-05-30,"Brot",187.239006431102,FALSE,0,17.9625,13,NA,"Friday"
2014-05-31,"Brot",171.347524831197,FALSE,3,15.9125,15,NA,"Saturday"
2014-06-01,"Brot",93.4027092149433,FALSE,7,13.825,6,21,"Sunday"
2014-06-02,"Brot",199.723160641356,FALSE,0,17.625,9,NA,"Monday"
